type,date,price,shares,return
sell,2022-09-19 04:00:00,155.7217559814453,,-0.0032938419336764426
buy,2022-09-20 04:00:00,155.3754119873047,53.24799827598445,
sell,2022-09-26 04:00:00,134.80186462402344,,-0.13241186041046352
buy,2022-09-27 04:00:00,137.23623657226562,52.30345595581636,
sell,2022-10-03 04:00:00,139.3341522216797,,0.015286892892238018
buy,2022-10-04 04:00:00,146.02378845214844,49.90733202525957,
sell,2022-10-10 04:00:00,139.03729248046875,,-0.047844916542273803
buy,2022-10-11 04:00:00,137.34510803222656,50.522224046652774,
sell,2022-10-17 04:00:00,146.310791015625,,0.06527850253898185
buy,2022-10-18 04:00:00,148.4285125732422,49.801392171782595,
sell,2022-10-24 04:00:00,153.36654663085938,,0.03326877007664218
buy,2022-10-25 04:00:00,153.81185913085938,49.657208345016485,
sell,2022-10-31 04:00:00,158.44314575195312,,0.030110075044041725
buy,2022-11-01 04:00:00,158.40354919433594,49.66962128981061,
sell,2022-11-07 05:00:00,146.80557250976562,,-0.07321790921705575
buy,2022-11-08 05:00:00,148.93319702148438,48.96005279965898,
sell,2022-11-14 05:00:00,157.8691864013672,,0.05999998360737365
buy,2022-11-15 05:00:00,160.0858612060547,48.2821133822767,
sell,2022-11-21 05:00:00,158.8587646484375,,-0.007665240067876631
buy,2022-11-22 05:00:00,161.64646911621094,47.44945515023977,
sell,2022-11-28 05:00:00,157.6286163330078,,-0.02485580294559115
buy,2022-11-29 05:00:00,159.9797821044922,46.75210743943992,
sell,2022-12-05 05:00:00,160.75360107421875,,0.0048369797704883475
buy,2022-12-06 05:00:00,159.19607543945312,47.20951573681933,
sell,2022-12-12 05:00:00,161.8746337890625,,0.016825530040331355
buy,2022-12-13 05:00:00,161.82504272460938,47.22398302876801,
sell,2022-12-19 05:00:00,150.16830444335938,,-0.07203296897061355
buy,2022-12-20 05:00:00,149.2159423828125,47.525387349689204,
sell,2022-12-27 05:00:00,147.1722869873047,,-0.013695958775402351
buy,2022-12-28 05:00:00,144.44412231445312,48.423015309577714,
sell,2023-01-03 05:00:00,146.57705688476562,,0.014766503033395342
buy,2023-01-04 05:00:00,148.6702880859375,47.7412343847823,
sell,2023-01-09 05:00:00,151.31910705566406,,0.017816733954234602
buy,2023-01-10 05:00:00,151.94410705566406,47.5448577561082,
sell,2023-01-17 05:00:00,159.7119598388672,,0.05112309344354767
buy,2023-01-18 05:00:00,158.52146911621094,47.90191798513727,
sell,2023-01-23 05:00:00,167.67820739746094,,0.057763395282043856
buy,2023-01-24 05:00:00,168.28335571289062,47.72966229857957,
sell,2023-01-30 05:00:00,169.8408966064453,,0.009255466097384096
buy,2023-01-31 05:00:00,172.79722595214844,46.913071635527686,
sell,2023-02-06 05:00:00,170.95199584960938,,-0.01067858637412414
buy,2023-02-07 05:00:00,174.0273895263672,46.084028780504404,
sell,2023-02-13 05:00:00,172.9857177734375,,-0.005985677057874054
buy,2023-02-14 05:00:00,179.83094787597656,44.32984917582288,
sell,2023-02-21 05:00:00,169.32501220703125,,-0.0584211771835341
buy,2023-02-22 05:00:00,169.23574829101562,44.353231091131995,
sell,2023-02-27 05:00:00,168.6589813232422,,-0.0034080681747076062
buy,2023-02-28 05:00:00,168.2910614013672,44.45019665295131,
sell,2023-03-06 05:00:00,174.13807678222656,,0.03474346963035955
buy,2023-03-07 05:00:00,172.59678649902344,44.84713716138916,
sell,2023-03-13 04:00:00,159.65972900390625,,-0.07495537870393888
buy,2023-03-14 04:00:00,161.7777862548828,44.25998112316421,
sell,2023-03-20 04:00:00,162.12582397460938,,0.0021513319460202338
buy,2023-03-21 04:00:00,166.81935119628906,43.0147093681616,
sell,2023-03-27 04:00:00,155.70204162597656,,-0.06664280546944008
buy,2023-03-28 04:00:00,158.0885772705078,42.36535102160242,
sell,2023-04-03 04:00:00,163.53787231445312,,0.03446988478250987
buy,2023-04-04 04:00:00,163.45831298828125,42.38597131749741,
sell,2023-04-10 04:00:00,161.87721252441406,,-0.009672805469248546
buy,2023-04-11 04:00:00,162.96112060546875,42.10404826331312,
sell,2023-04-17 04:00:00,168.79820251464844,,0.03581886211565363
buy,2023-04-18 04:00:00,172.686279296875,41.15606459514397,
sell,2023-04-24 04:00:00,173.35252380371094,,0.00385812068885078
buy,2023-04-25 04:00:00,171.89076232910156,41.506056350701684,
sell,2023-05-01 04:00:00,169.18601989746094,,-0.015735240189709166
buy,2023-05-02 04:00:00,177.6085205078125,39.53776798284889,
sell,2023-05-08 04:00:00,176.9522247314453,,-0.003695181821743281
buy,2023-05-09 04:00:00,177.98638916015625,39.30803944331604,
sell,2023-05-15 04:00:00,174.51596069335938,,-0.019498280082945577
buy,2023-05-16 04:00:00,173.59117126464844,39.51744905254733,
sell,2023-05-22 04:00:00,173.70054626464844,,0.0006300723660263363
buy,2023-05-23 04:00:00,168.58937072753906,40.71551164697252,
sell,2023-05-30 04:00:00,168.6631622314453,,0.00043769962238904167
buy,2023-05-31 04:00:00,167.366455078125,41.030963719964575,
sell,2023-06-05 04:00:00,176.7726593017578,,0.056201251435014796
buy,2023-06-06 04:00:00,180.443359375,40.19628428341592,
sell,2023-06-12 04:00:00,180.48326110839844,,0.00022113162566161907
buy,2023-06-13 04:00:00,180.9520721435547,40.09214365976286,
sell,2023-06-20 04:00:00,173.35130310058594,,-0.04200432165783011
buy,2023-06-21 04:00:00,175.67543029785156,39.5617380058911,
sell,2023-06-26 04:00:00,171.07705688476562,,-0.0261753929123131
buy,2023-06-27 04:00:00,176.8624267578125,38.26762884217329,
sell,2023-07-03 04:00:00,183.76495361328125,,0.03902766111493405
buy,2023-07-05 04:00:00,181.6602783203125,38.71098901804292,
sell,2023-07-10 04:00:00,190.45802307128903,,0.04842965579665088
buy,2023-07-11 04:00:00,190.77720642089844,38.64622287866351,
sell,2023-07-17 04:00:00,190.80712890625,,0.00015684518036995787
buy,2023-07-18 04:00:00,193.1711578369141,38.173270342844546,
sell,2023-07-24 04:00:00,193.7796173095703,,0.0031498463821908506
buy,2023-07-25 04:00:00,194.33819580078125,38.06355044107829,
sell,2023-07-31 04:00:00,201.3005828857422,,0.035826138326910145
buy,2023-08-01 04:00:00,204.2231903076172,37.51882868418848,
sell,2023-08-07 04:00:00,204.18328857421875,,-0.00019538296967320089
buy,2023-08-08 04:00:00,205.9388427734375,37.198994230623256,
sell,2023-08-14 04:00:00,206.31788635253903,,0.0018405638003828973
buy,2023-08-15 04:00:00,205.47999572753903,37.35068144676763,
sell,2023-08-21 04:00:00,199.8099975585937,,-0.02759391807883628
buy,2023-08-22 04:00:00,203.9499969482422,36.59249659407644,
sell,2023-08-28 04:00:00,202.52999877929688,,-0.006962481932792945
buy,2023-08-29 04:00:00,206.1499938964844,35.94993213655444,
sell,2023-09-05 04:00:00,201.02999877929688,,-0.02483626130863952
buy,2023-09-06 04:00:00,202.4199981689453,35.70306728041504,
sell,2023-09-11 04:00:00,204.1600036621093,,0.008596015753896612
buy,2023-09-13 04:00:00,200.22999572753903,36.403828108934746,
sell,2023-09-18 04:00:00,200.67999267578125,,0.0022474002788999943
buy,2023-09-19 04:00:00,198.5399932861328,36.796213384286865,
sell,2023-09-25 04:00:00,191.52102661132807,,-0.03535291080970833
buy,2023-09-26 04:00:00,190.35958862304688,37.020717546953655,
sell,2023-10-02 04:00:00,192.3350524902344,,0.010377538013592653
buy,2023-10-03 04:00:00,188.9996032714844,37.67405607932179,
sell,2023-10-09 04:00:00,193.0100860595703,,0.021219530193008592
buy,2023-10-10 04:00:00,197.0106811523437,36.909028300146424,
sell,2023-10-16 04:00:00,195.6010284423828,,-0.007155209563845067
buy,2023-10-17 04:00:00,196.0675811767578,36.82120139896671,
sell,2023-10-23 04:00:00,187.2623748779297,,-0.04490903721044073
buy,2023-10-24 04:00:00,188.75143432617188,36.53071906152384,
sell,2023-10-30 04:00:00,186.7163848876953,,-0.010781636948834496
buy,2023-10-31 04:00:00,187.1829528808593,36.43966341773228,
sell,2023-11-06 05:00:00,189.76397705078125,,0.013788777931956042
buy,2023-11-07 05:00:00,193.0795745849609,35.813914897031005,
sell,2023-11-13 05:00:00,196.26614379882807,,0.016503916691949057
buy,2023-11-14 05:00:00,200.88218688964844,34.99095206007979,
sell,2023-11-20 05:00:00,205.4485778808593,,0.022731686974909973
buy,2023-11-21 05:00:00,206.19497680664065,34.864289376855446,
sell,2023-11-27 05:00:00,206.5134429931641,,0.0015444905179338058
